Coluna;Ano
UF;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;Total
Alagoas;2770;3170;4181;4113;5473;6192;6177;6008;5719;5659;5088;3661;3347;3053;2481;2282;69374
Amazonas;2443;2714;3497;4252;4732;5316;5676;5323;5043;5824;5535;5208;5142;4413;3620;3464;72202
Bahia;9020;9610;10855;11630;12159;12167;12622;12200;10985;11379;10851;10217;10101;8937;7973;7649;168355
Ceará;2771;3048;4028;4169;4244;4379;4513;5249;5788;5712;5881;6022;6225;6034;6125;5677;79865
Mato Grosso do Sul;4098;4337;4974;5103;5242;6317;6797;5777;5647;6179;6997;6931;6489;6158;6298;6533;93877
Espírito Santo;7179;7131;8128;9355;9988;10048;10605;9680;9109;9410;9446;9572;10386;9471;8315;8054;145877
Goiás;7130;8202;9153;9824;10496;11242;11615;10788;9835;10135;10467;10949;11096;10084;9756;9480;160252
Maranhão;1098;1453;1640;2548;2169;2295;2996;2886;2613;2854;2685;2564;2607;2433;2023;1868;36732
Mato Grosso;4265;4840;5694;5752;6335;7287;8021;7914;7636;8003;7973;8429;8814;8051;7496;8192;114702
Minas Gerais;33183;35321;41105;44077;43821;46345;48421;46258;45248;46490;46748;46933;44852;39518;36779;35157;680256
Pará;5289;5663;7331;7401;7833;8435;8128;8017;7567;7348;7828;7654;8192;7429;6078;5884;116077
Paraíba;1419;1470;1641;2031;2062;2364;2204;2265;2176;2221;1961;2085;2112;1885;1700;1661;31257
Paraná;23957;24959;28320;30350;31121;33309;33839;33608;33207;33032;32415;33662;33903;31647;28551;27632;493512
Pernambuco;5462;5704;7159;8004;8605;8906;9169;9756;10645;10125;9532;9627;9636;8418;7487;6779;135014
Piauí;456;509;627;709;742;733;808;784;872;873;880;1130;1078;963;857;738;12759
Rio de Janeiro;19864;19430;23429;25172;26354;27487;29672;29145;28806;31084;32887;33068;34306;31612;27557;24217;444090
Rio Grande do Norte;1821;2099;3030;3397;3983;4418;5482;5731;3989;3662;3163;3240;3215;3331;2683;2450;55694
Rio Grande do Sul;33747;33817;36636;36942;36257;33238;36892;33493;33140;33138;32465;34828;36351;32732;31294;29764;544734
Santa Catarina;23830;22660;25327;26523;24586;22739;22826;22049;22630;21513;20879;22582;23155;20421;19106;19305;360131
São Paulo;126636;122141;138716;147132;151833;154200;165179;156923;155884;159182;160086;163694;157683;138757;129800;124411;2352257
Sergipe;1226;1115;1459;1677;1748;1841;1813;1770;1890;2113;2016;1944;1855;1663;1594;1452;27176
Distrito Federal;3344;3191;4006;4226;4140;3954;4541;4788;4450;4733;4754;4675;4855;4435;4035;3665;67792
Acre;245;250;280;304;339;302;307;378;422;420;398;422;392;390;332;395;5576
Amapá;225;188;229;292;357;508;394;426;352;481;561;549;344;320;287;259;5772
Rondônia;1665;1718;1931;1965;1794;1723;2064;2164;2641;3484;3622;3550;3013;2313;2049;2017;37713
Roraima;76;78;71;63;64;157;139;133;195;246;300;371;425;298;343;369;3328
Tocantins;660;759;1724;1602;949;1134;1025;985;806;853;866;772;880;880;941;875;15711
Total;323879;325577;375171;398613;407426;417036;441925;424498;417295;426153;426284;434339;430454;385646;355560;340229;6330085

Seleções vigentes
Variável;Critério;Valor
UF;igual a;Acre
;;Alagoas
;;Amapá
;;Amazonas
;;Bahia
;;Ceará
;;Distrito Federal
;;Espírito Santo
;;Goiás
;;Ignorado
;;Maranhão
;;Mato Grosso do Sul
;;Mato Grosso
;;Minas Gerais
;;Pará
;;Paraíba
;;Paraná
;;Pernambuco
;;Piauí
;;Rio de Janeiro
;;Rio Grande do Norte
;;Rio Grande do Sul
;;Rondônia
;;Roraima
;;Santa Catarina
;;São Paulo
;;Sergipe
;;Tocantins
